Trait,"Trait_Cat","Geneset","Geneset_Type","Geneset_Cat","Geneset_SubCat","Geneset_Cat_Detailed","CNV_Type","Effectsize","se","p_value","FDR_p_value","Effectsize_outside","se_outside","p_value_outside","FDR_p_value_outside"
"GP","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.002775929,0.011093102,0.498415618,0.732276899,0.00129891,3.81291e-4,6.57811e-4,0.001116889
"GuiltyFeelings","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.001809289,0.014945587,0.946230613,0.977009858,6.44519e-4,0.003431695,0.851000663,0.867121431
"GuiltyFeelings","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.047640625,0.011093102,0.014444947,0.081486517,0.001347675,0.001808039,0.45603595,0.494370375
"HbA1c","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.004360096,0.011093102,0.60470441,0.799355464,0.002868006,7.79429e-4,2.33608e-4,4.28143e-4
"HbA1c","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.009687356,0.014945587,0.396545592,0.648532076,0.00805632,0.001454152,3.02e-8,9.19e-8
"HDL","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.015836882,0.011093102,0.060728154,0.211163811,-0.002959937,7.8336e-4,1.57792e-4,2.96916e-4
"HDL","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.027548884,0.014945587,0.015943342,0.08695941,-0.01108131,0.001456855,2.83e-14,1.48e-13
"HeartRate","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.022854333,0.011093102,0.010425203,0.064249653,0.002108542,8.29801e-4,0.011053316,0.015472759
"HeartRate","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.02794533,0.014945587,0.021578881,0.106433748,0.00817924,0.001548699,1.28e-7,3.6e-7
"Hypertention","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.012094373,0.011093102,0.552273183,0.768962304,0.007448092,0.001861893,6.62e-5,1.32156e-4
"Hypertention","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.049541958,0.014945587,0.071527965,0.234131812,0.00686935,0.003479629,0.049449618,0.062877912
"IGF1","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.004552147,0.014945587,0.696459425,0.852948843,-0.006352317,0.0014850900000000001,1.89e-5,4.07e-5
"IGF1","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-6.31e-5,0.011093102,0.994137272,0.99717085,-0.002133103,7.97254e-4,0.007460702,0.010745736
"Irritability","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.015969282,0.011093102,0.420485782,0.669535392,0.001075121,0.001836707,0.55858174,0.593871998
"Irritability","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.030758223,0.014945587,0.25547919,0.508888077,-0.004094511,0.003484165,0.237742084,0.271957382
"LDL","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.001540759,0.014945587,0.898239526,0.955947018,-0.005992636,0.001533989,9.36e-5,1.82909e-4
"LDL","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.003039564,0.011093102,0.731877968,0.873973603,-0.002793076,8.23864e-4,6.98449e-4,0.0011812770000000001
"Loneliness","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.045745233,0.011093102,0.035987339,0.149363828,0.011856944,0.002001861,3.52e-9,1.18e-8
"Loneliness","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.047861254,0.014945587,0.105012296,0.300336791,0.026602582,0.003564177,2.29e-13,1.12e-12
"Menarche","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.018538894,0.014945587,0.253978618,0.507512047,4.62933e-4,0.002158952,0.830215785,0.84862197
"Menarche","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.048832238,0.011093102,6.09e-5,0.001213723,-0.001272452,0.001117339,0.254777826,0.289741954
"Menopause","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.012104204,0.014945587,0.573882698,0.783757074,-0.005057875,0.002822404,0.073127919,0.090739717
"Menopause","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.038989454,0.011093102,0.013932014,0.079537764,-0.00159542,0.001388564,0.250569887,0.285389687
"MET","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.024475708,0.014945587,0.072537103,0.23649302,0.002418081,0.001826258,0.185482988,0.216360252
"MET","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.007736287,0.011093102,0.44112919,0.686831364,-0.001266646,9.39947e-4,0.177797375,0.207936335
"Miserableness","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.014475808,0.011093102,0.420490768,0.669535392,0.007329367,0.001686158,1.28e-5,2.82e-5
"Miserableness","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.016788847,0.014945587,0.492640646,0.728565001,0.016152702,0.003124072,2.12e-7,5.76e-7
"MoodAnxiety","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.018445014,0.011093102,0.045807895,0.174277361,0.00655879,8.68868e-4,4.41e-14,2.27e-13
"MoodAnxiety","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.022004003,0.014945587,0.079026624,0.250259435,0.011380478,0.001597378,1.05e-12,4.9e-12
"MoodSwings","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.028264731,0.011093102,0.113627157,0.315640628,0.010492741,0.001699722,5.35e-10,1.95e-9
"MoodSwings","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.044327084,0.014945587,0.068595004,0.228012878,0.015921762,0.003130704,3.12e-7,8.3e-7
"Neuroticism","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.017128553,0.011093102,0.074377192,0.239955474,0.005037649,0.00089131499999999995,1.59e-8,4.97e-8
"Neuroticism","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.017880284,0.014945587,0.168031747,0.400582697,0.0078688,0.001671873,2.52e-6,6e-6
"Platelet","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.019788772,0.014945587,0.086633945,0.265758879,0.003856891,0.001465814,0.008507994,0.012144191
"Platelet","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.006695143,0.011093102,0.430401739,0.677746456,0.001392459,7.90796e-4,0.078267741,0.096727916
"Reaction","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.003336643,0.014945587,0.76303143,0.889543114,0.017118134,0.001409913,6.46e-34,1.75e-32
"Reaction","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.025869921,0.011093102,0.001426717,0.014778714,0.004600261,7.55569e-4,1.14e-9,4.01e-9
"Redblood","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.001773749,0.011093102,0.811969749,0.914643273,7.56766e-4,6.94504e-4,0.275867968,0.311832415
"Redblood","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.021201006,0.014945587,0.036602117000000003,0.15104754,0.001395458,0.001287309,0.278360528,0.314409661
"RiskTaking","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.06495305,0.014945587,0.024047575,0.114755278,-0.011987376,0.003765575,0.001238445,0.002010654
"RiskTaking","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.006129551,0.011093102,0.767899087,0.891862696,-0.007389908,0.001994829,1.82549e-4,3.40212e-4
"SexPartners","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.025016455,0.011093102,0.005147923,0.038648853,-0.002035596,8.37466e-4,0.015071788,0.020675312
"SexPartners","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.026324018,0.014945587,0.029925805,0.132216998,-0.008388098,0.001593845,1.42e-7,3.96e-7
"StandingHeight","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.014140866,0.014945587,0.086293395,0.265264317,-0.013850653,0.001046513,5.6e-40,3.41e-38
"StandingHeight","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.001690999,0.011093102,0.780298562,0.898151222,-0.003097635,5.63947e-4,3.96e-8,1.19e-7
"SymbolDigit","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.036649425,0.011093102,0.008452777,0.055080824,-0.006372308,0.001362881,2.93e-6,6.94e-6
"SymbolDigit","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.006730182,0.014945587,0.723179643,0.867932923,-0.014485776,0.002617703,3.14e-8,9.52e-8
"TDI","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.02060775,0.014945587,0.073633688,0.238700308,0.016152454,0.001463104,2.48e-28,3.770000000000001e-27
"TDI","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.022345917,0.011093102,0.008402778,0.054847574,0.007363132,7.88054e-4,9.37e-21,8.17e-20
"TrailMaking1","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.003959833,0.014945587,0.854573902,0.93584159200000006,0.009073379,0.002979008,0.002321272,0.003621968
"TrailMaking1","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.036383968,0.011093102,0.022274619,0.108888273,0.003529491,0.001560726,0.023733484,0.031579176
"TrailMaking2","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.005555957,0.014945587,0.791673971,0.903834768,0.015444204,0.002921606,1.25e-7,3.51e-7
"TrailMaking2","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.063842528,0.011093102,4.02e-5,8.65433e-4,0.004953065,0.001511211,0.001047411,0.001722818
"Triglycerides","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.003229004,0.011093102,0.707969544,0.85972297,5.96768e-4,8.01044e-4,0.456279698,0.494598365
"Triglycerides","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.034042498,0.014945587,0.003674715,0.029735442,0.003704853,0.001490884,0.012955359,0.01793334
"VSWM1","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.0108369,0.014945587,0.371853206,0.626047419,0.009478394,0.001533797,6.43e-10,2.32e-9
"VSWM1","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.014689041,0.011093102,0.098518849,0.288542105,0.003074832,8.25459e-4,1.95345e-4,3.6237e-4
"VSWM2","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.005433744,0.014945587,0.636010045,0.818715568,0.011954832,0.001461843,2.9e-16,1.77e-15
"VSWM2","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.022220534,0.011093102,0.00833619,0.05448914,0.004046082,7.82455e-4,2.33e-7,6.31e-7
"Albumin","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-0.003421686,0.008036785,0.670288028,0.838514511,-0.002603159,7.84198e-4,9.01824e-4,0.001499526
