Trait,"Trait_Cat","Geneset","Geneset_Type","Geneset_Cat","Geneset_SubCat","Geneset_Cat_Detailed","CNV_Type","Effectsize","se","p_value","FDR_p_value","Effectsize_outside","se_outside","p_value_outside","FDR_p_value_outside"
"FVC","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.026326334,0.010214999,0.009960115,0.062269662,-0.014354517,0.001086859,8.11e-40,4.82e-38
"Gamma","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.012764003,0.013160199,0.332099734,0.589489641,0.002827906,0.001408967,0.044741986,0.057261071
"Gamma","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.029349712,0.006914623,2.19e-5,5.24291e-4,8.02394e-4,6.90747e-4,0.24538585,0.279921917
"Glucose","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.003316881,0.007595964,0.66235561,0.834048198,6.91695e-4,7.61267e-4,0.363556025,0.402253028
"Glucose","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.009001163,0.014603703000000001,0.53765621,0.760555205,0.003095233,0.00156107,0.047394518,0.060451816
"GP","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.00386136,0.006513202,0.553280938,0.769546934,0.001222232,6.94868e-4,0.078588226,0.097099652
"GP","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.012690916,0.003407741,1.96004e-4,0.003144573,7.93886e-4,3.41355e-4,0.020035614,0.026959593
"GuiltyFeelings","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.020173623,0.016407865,0.21753666,0.466483369,0.005218512,0.001607479,0.001250085,0.002027994
"GuiltyFeelings","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.044577363,0.03184338,0.158992405,0.387467706,0.003199817,0.003358072,0.341912437,0.379982627
"HbA1c","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.004419118,0.00700223,0.527974521,0.754861696,0.002875813,6.98429e-4,3.83e-5,7.92e-5
"HbA1c","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.020856985,0.0133424,0.118003771,0.322705081,0.007449468,0.001429406,1.87e-7,5.14e-7
"HDL","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.002484854,0.0069618910000000004,0.721150188,0.866481487,-0.00375473,6.9787e-4,7.44e-8,2.15e-7
"HDL","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.009951966,0.013402524,0.457758166,0.69951396,-0.012285138,0.0014294,8.39e-18,5.86e-17
"HeartRate","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.003844125,0.007460411,0.606364736,0.800191557,0.003650201,7.43943e-4,9.27e-7,2.33e-6
"HeartRate","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.06650893,0.014182301,2.74e-6,9.38e-5,0.006247906,0.00152358,4.12e-5,8.47e-5
"Hypertention","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.001704531,0.032278175,0.957731101,0.982029561,0.010108727,0.003399041,0.003175846,0.004845
"Hypertention","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.017843624,0.016759628,0.287932962,0.543877458,0.005750115,0.001668756,6.12787e-4,0.001047054
"IGF1","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.015636312,0.013594822,0.250075894,0.50320504,-0.005706062,0.001456753,8.97e-5,1.75868e-4
"IGF1","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.010571246,0.007139296,0.138683917,0.355625155,-0.002670637,7.13868e-4,1.83257e-4,3.4136e-4
"Irritability","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.026552642,0.032078649,0.406028242,0.658044238,-4.40553e-4,0.003399919,0.896764052,0.907748844
"Irritability","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.005532367,0.016433307,0.736475007,0.876987466,0.001730458,0.00163891,0.29222365,0.328737716
"LDL","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.012410854,0.007379826,0.092622539,0.276670556,-0.001945071,7.38e-4,0.008399197,0.012005113
"LDL","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.016487246,0.014047304,0.240518027,0.491672561,-0.004883115,0.001505019,0.001176439,0.001916508
"Loneliness","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.01180466,0.034141028,0.728859781,0.872131846,0.030215619,0.003463926,1.63e-17,1.12e-16
"Loneliness","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.030175813,0.018508712,0.100947133,0.292556817,0.015985561,0.001736184,1.83e-19,1.46e-18
"Menarche","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.03146444,0.010009921,0.001670611,0.01661848,0.003264575,0.001005303,0.001164998,0.00190017
"Menarche","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.021217906,0.019295067,0.271483862,0.525964135,-0.002000888,0.002110145,0.343016992,0.38109564
"Menopause","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.008654345,0.025968468,0.73893583,0.878314995,-0.00533599,0.002780435,0.054971156,0.069445156
"Menopause","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.0106097,0.012865401,0.409560873,0.660494036,-0.003216458,0.001265008,0.011003026,0.015409654
"MET","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.008225337,0.015883828,0.604567781,0.799292255,0.001146089,0.001793293,0.522760022,0.559405791
"MET","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.002400348,0.008405425,0.77520672,0.895941157,-9.29265e-4,8.50038e-4,0.274304891,0.310255233
"Miserableness","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.003614698,0.014974626,0.809183802,0.913323132,0.008323414,0.001504362,2.84e-8,8.66e-8
"Miserableness","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.013502173,0.028484791,0.635353281,0.81835398,0.01634373,0.003064886,8.74e-8,2.51e-7
"MoodAnxiety","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",6.59617e-4,0.007685266,0.931602556,0.971266039,0.007579958,7.72113e-4,9.56e-23,9.6e-22
"MoodAnxiety","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.008250528,0.014645802,0.573205501,0.783251496,0.012284454,0.001564707,4.14e-15,2.32e-14
"MoodSwings","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.002364971,0.028387117,0.933550276,0.971922556,0.018887023,0.0030754,6.14e-10,2.22e-9
"MoodSwings","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.00342563,0.014887669,0.817975385,0.917670982,0.011927998,0.001517886,2.43e-15,1.39e-14
"Neuroticism","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.001218938,0.015419242,0.936990474,0.97303869,0.009040001,0.001636188,3.3e-8,9.97e-8
"Neuroticism","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.003051266,0.007905877,0.699534567,0.855095886,0.00584933,8.00231e-4,2.69e-13,1.31e-12
"Platelet","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.010871683,0.007082522,0.124784146,0.334082731,0.00234301,7.06114e-4,9.06144e-4,0.001506539
"Platelet","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.018393438,0.013495677,0.172910569,0.406693137,0.001423894,0.001438074,0.322106526,0.359592433
"Reaction","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.004108195,0.006758038,0.543255679,0.763790324,0.005890898,6.75991e-4,2.93e-18,2.13e-17
"Reaction","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.0160639,0.012900446,0.213051365,0.46123399,0.016234941,0.001385673,1.06e-31,2.19e-30
"Redblood","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.011615599,0.006219112,0.061800912,0.213190087,0.00145714,6.20126e-4,0.018786517,0.025387371
"Redblood","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.036061485,0.011853382,0.00234796,0.021255216,0.004838662,0.001262958,1.27531e-4,2.43946e-4
"RiskTaking","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.03754186,0.033894451,0.265427336,0.520284976,-0.014160952,0.003720936,1.05921e-4,2.05291e-4
"RiskTaking","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.050068603,0.0177426,0.004426764,0.034283089,-0.00440724,0.001776375,0.012346088,0.017146121
"SexPartners","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.001229151,0.007442326,0.86882068,0.942752018,-0.003442582,7.55177e-4,5.15e-6,1.19e-5
"SexPartners","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.002903234,0.01422284,0.838256083,0.927688462,-0.009923757,0.001561349,2.07e-10,7.86e-10
"StandingHeight","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.007035576,0.005055397,0.164015155,0.395132275,-0.002608181,5.0468e-4,2.37e-7,6.4e-7
"StandingHeight","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.025338277,0.009625995,0.008481788,0.055172649,-0.013229012,0.001027444,6.27e-38,2.82e-36
"SymbolDigit","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.006772164,0.011860851,0.568022363,0.779974401,-0.008159997,0.001209949,1.55e-11,6.51e-11
"SymbolDigit","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.01841451,0.022773985,0.418760138,0.66849591,-0.014827853,0.002583936,9.57e-9,3.06e-8
"TDI","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.004825162,0.007055976,0.494076223,0.729616003,0.008386183,7.05548e-4,1.41e-32,3.24e-31
"TDI","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.007993602,0.013449671,0.552288772,0.768962304,0.016915197,0.001436587,5.34e-32,1.14e-30
"TrailMaking1","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.022702818,0.013651201,0.09630193,0.284876723,0.00671689,0.00138771,1.3e-6,3.2e-6
"TrailMaking1","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.024485921,0.025871246,0.343919179,0.60083294,0.010575532,0.002943063,3.26534e-4,5.82922e-4
"TrailMaking2","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.009717268,0.025191934,0.699697781,0.855124845,0.015404664,0.002894008,1.02e-7,2.91e-7
"TrailMaking2","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.009505124,0.013175259,0.470641777,0.710722087,0.008238792,0.001338785,7.58e-10,2.71e-9
"Triglycerides","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",-0.005433769,0.013670406,0.691010723,0.849653949,0.006312222,0.001463032,1.6e-5,3.48e-5
"Triglycerides","NonBrain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",0.0097540290000000009,0.007177956,0.174183231,0.407861152,2.76991e-4,7.1724e-4,0.699356474,0.727897619
"VSWM1","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.010929383,0.007401509,0.139772271,0.35730132,0.004497261,7.40567e-4,1.26e-9,4.41e-9
"VSWM1","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.002379589,0.014070892,0.865706851,0.941237467,0.009966205,0.001504826,3.53e-11,1.44e-10
"VSWM2","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DUP",-0.001973613,0.006998069,0.777926365,0.897035566,0.005436426,7.00747e-4,8.64e-15,4.73e-14
"VSWM2","Brain","ductus_deferens","Tissue_Fantom60","NonBrain",NA,"male_reproductive","DEL",0.016820705,0.013369612,0.208345594,0.455759837,0.011240239,0.001436128,5.02e-15,2.79e-14
"Albumin","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.004747363,0.010027117,0.564380742,0.778615431,-0.002510712,8.35665e-4,0.002660791,0.004111828
"Albumin","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.008839848,0.016171674,0.515094028,0.745316207,-0.005035662,0.0017033,0.003112562,0.004755812
"BirthWeight","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.006000077,0.010027117,0.561766737,0.776286283,-0.00210031,0.001056188,0.046749176,0.059669843
"BirthWeight","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.008151968,0.016171674,0.638752172,0.820531665,-0.007413222,0.002190961,7.15666e-4,0.001207774
"BMD","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.015378601,0.010027117,0.125104444,0.334649367,-0.00209682,0.001005158,0.036974144,0.047874784
"BMD","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.01744248,0.016171674,0.280775041,0.536038255,5.93308e-4,0.002090175,0.7765213,0.79910276
"BMI","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.014836385,0.016171674,0.246629993,0.498994782,0.012144811,0.001614676,5.42e-14,2.78e-13
"BMI","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.017267554,0.010027117,0.026593059,0.122460021,0.003101649,7.90283e-4,8.68e-5,1.70704e-4
"Calcium","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.033384149,0.016171674,0.01533892,0.084693285,-0.001316236,0.001727089,0.445993364,0.484299945
"Calcium","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.00140589,0.010027117,0.866375912,0.941522912,8.21903e-4,8.4734e-4,0.332057478,0.369836173
"Cholesterol","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.033750537,0.016171674,0.009484335,0.060025997,-0.005440238,0.001641783,9.21057e-4,0.001529271
"Cholesterol","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.019367158,0.010027117,0.014163923,0.080458044,-0.00471727,8.02125e-4,4.08e-9,1.36e-8
"Depression","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.002605887,0.016171674,0.386138093,0.638327523,0.001003654,3.78932e-4,0.008081979,0.011580803
"Depression","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.00433496,0.010027117,0.017805011,0.093275625,4.73157e-4,1.85854e-4,0.010901577,0.015280596
"EA","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.019142997,0.016171674,0.13113962,0.342966278,-0.018285006,0.001602771,3.84e-30,6.78e-29
"EA","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.027901926,0.010027117,3.02685e-4,0.004509051,-0.006707821,7.85833e-4,1.39e-17,9.58e-17
"FEV1","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.016457777,0.010027117,0.006149359,0.043985162,-0.005115856,6.0769e-4,3.82e-17,2.53e-16
"FEV1","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.031246791,0.016171674,0.001579485,0.015872106,-0.013854467,0.001239705,5.42e-29,8.72e-28
"FI","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.021660575,0.016171674,0.189019395,0.427715297,-0.021800388,0.002133127,1.63e-24,1.85e-23
"FI","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.009935556,0.010027117,0.3181424,0.575441719,-0.009889916,0.001032591,1e-21,9.360000000000001e-21
"FVC","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.019363363,0.010027117,8.83669e-4,0.010310438,-0.00498997,5.89085e-4,2.45e-17,1.65e-16
"FVC","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.031689251,0.016171674,9.51605e-4,0.010878011,-0.013647985,0.001201831,6.999999999999999e-30,1.21e-28
"Gamma","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.001477227,0.016171674,0.904872584,0.958871667,0.003505922,0.001558915,0.024516213,0.032559151
"Gamma","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.029622206,0.010027117,7.83e-5,0.001484257,4.51138e-4,7.61481e-4,0.553551008,0.588946739
"Glucose","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.015730958,0.016171674,0.250101168,0.50320504,0.004924664,0.001715241,0.004090425,0.006135845
"Glucose","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",3.76332e-4,0.010027117,0.963783731,0.984977845,8.50478e-4,8.41306e-4,0.312063916,0.349171667
"GP","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.002717562,0.010027117,0.464182925,0.704658644,0.001296186,3.77426e-4,5.94183e-4,0.001017853
"GP","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.005350897,0.016171674,0.380121907,0.633263445,0.001040088,7.69022e-4,0.176222195,0.206224581
"GuiltyFeelings","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-9.75927e-4,0.010027117,0.956124377,0.981624789,0.00429304,0.001787625,0.016481952,0.022466
"GuiltyFeelings","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.003279684,0.016171674,0.911273411,0.961719544,5.1832e-4,0.00373753,0.889649071,0.901595579
"HbA1c","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-4.08543e-4,0.010027117,0.957075394,0.981905971,0.003169271,7.72217e-4,4.06e-5,8.36e-5
"HbA1c","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.029682023,0.016171674,0.017649353,0.092841118,0.00642084,0.001581563,4.91e-5,9.99e-5
"HDL","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.003324831,0.010027117,0.661819891,0.833793054,-0.003715407,7.7106e-4,1.45e-6,3.56e-6
"HDL","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.049341591,0.016171674,8.26e-5,0.001560027,-0.009204337,0.001571683,4.74e-9,1.56e-8
"HeartRate","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.016642722,0.010027117,0.040268009,0.160781576,0.002420768,8.219e-4,0.003226288,0.004916374
"HeartRate","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.034031105,0.016171674,0.010359502,0.064062603,0.007483262,0.00168127,8.55e-6,1.92e-5
"Hypertention","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.01356349,0.010027117,0.460414407,0.701818827,0.005888712,0.001840012,0.001407367,0.002265018
"Hypertention","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.059779109,0.016171674,0.045516147,0.173524444,0.00555815,0.003794315,0.144094641,0.170884945
"IGF1","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.002580274,0.010027117,0.739244399,0.878356392,-0.002311947,7.87461e-4,0.003325435,0.005058601
"IGF1","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.005454131,0.016171674,0.66908586,0.83777946,-0.007180143,0.001612327,8.46e-6,1.9e-5
"Irritability","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.005407854,0.010027117,0.763039452,0.889543114,0.001691736,0.001814744,0.351933597,0.390327793
"Irritability","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.005857928,0.016171674,0.843779046,0.930740004,-0.002421126,0.003770637,0.519698283,0.556652933
"LDL","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.026563117,0.016171674,0.044088971,0.169842541,-0.003800312,0.00166475,0.022441945,0.02998205
"LDL","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.020817471,0.010027117,0.009323459,0.059164569,-0.003962104,8.13523e-4,1.11e-6,2.78e-6
"Loneliness","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.053941441,0.010027117,0.006608026,0.045998079,0.011166362,0.001982554,1.87e-8,5.81e-8
"Loneliness","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.065077117,0.016171674,0.039300998,0.158585555,0.024982624,0.003878025,2.38e-10,9e-10
"Menarche","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.006833424,0.016171674,0.709170393,0.860289625,-3.0992e-4,0.002346031,0.894901994,0.906229787
"Menarche","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.01360606,0.010027117,0.210764756,0.458756424,7.43497e-4,0.00110528,0.501152819,0.538543589
"Menopause","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.001897161,0.010027117,0.893058119,0.954143424,-0.003935524,0.001383893,0.004458476,0.006646823
"Menopause","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.007012519,0.016171674,0.765766613,0.891135217,-0.006529441,0.003100996,0.035241401,0.04576741
"MET","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.010006523,0.010027117,0.268432941,0.523074703,-1.76627e-4,9.29791e-4,0.84933691,0.865605041
"MET","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.030513953,0.016171674,0.041045207,0.162712122,0.003145176,0.001960141,0.108590138,0.131460339
"Miserableness","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.026126256,0.016171674,0.328564508,0.585627932,0.015389492,0.003396224,5.55e-6,1.28e-5
"Miserableness","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.029014622,0.010027117,0.074596104,0.240453355,0.006351621,0.001667362,1.3156e-4,2.51134e-4
"MoodAnxiety","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.020320457,0.010027117,0.015054294,0.083574588,0.006379944,8.60959e-4,1.26e-13,6.29e-13
"MoodAnxiety","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.023129618,0.016171674,0.091225403,0.274586517,0.011172807,0.00174021,1.36e-10,5.26e-10
"MoodSwings","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.039668804,0.010027117,0.014556848,0.081721161,0.009672735,0.001682418,7.4e-9,2.4e-8
"MoodSwings","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.059653088,0.016171674,0.024997197,0.117870113,0.014384122,0.003396553,2.11e-5,4.51e-5
"Neuroticism","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.009976193,0.010027117,0.250667547,0.503594649,0.005441049,8.81453e-4,6.72e-10,2.42e-9
"Neuroticism","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.023610275,0.016171674,0.095360796,0.282890935,0.007287483,0.001820733,6.27e-5,1.25413e-4
"Platelet","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.001479194,0.016171674,0.906825025,0.95999347,0.002624338,0.001593766,0.099635496,0.121271148
"Platelet","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.010358945,0.010027117,0.178319969,0.412832872,0.00113394,7.81658e-4,0.146868162,0.17399278
"Reaction","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.01210087,0.016171674,0.315881223,0.572752519,0.016558083,0.001530535,2.84e-27,3.98e-26
"Reaction","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.020232294,0.010027117,0.005882049,0.04267154,0.004873297,7.47229e-4,6.95e-11,2.76e-10
"Redblood","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.007721905,0.016171674,0.48665222,0.723182604,0.00352403,0.001399644,0.011809251,0.016463944
"Redblood","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",0.007459052,0.010027117,0.269766264,0.524352338,3.85508e-4,6.86425e-4,0.574377201,0.60922039
"RiskTaking","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.020143059,0.010027117,0.286963813,0.543063849,-0.005743441,0.001968171,0.00326524,0.004972147
"RiskTaking","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",0.021793911,0.016171674,0.485887043,0.72257818,-0.018424185,0.004114074,4.85e-6,1.12e-5
"SexPartners","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.005018796,0.010027117,0.531864081,0.757567019,-0.003222689,8.27181e-4,9.78e-5,1.9063e-4
"SexPartners","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.014819392,0.016171674,0.266381448,0.521199397,-0.009131558,0.001729304,1.29e-7,3.61e-7
"StandingHeight","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DEL",-0.012218273,0.016171674,0.176173286,0.410031817,-0.014002503,0.001137065,7.66e-35,2.35e-33
"StandingHeight","NonBrain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.016338691,0.010027117,0.002951955,0.025283513,-0.001955428,5.57837e-4,4.5601e-4,7.95999e-4
"SymbolDigit","Brain","early_spermatids","SC_HPA81","NonBrain",NA,"Germ cells","DUP",-0.007772413,0.010027117,0.544083152,0.764403369,-0.008118327,0.001348447,1.74e-9,6.02e-9
